Reef_ID,Nick_ID,LAT,LON,UNIQUE_ID,LABEL_ID,GBR_NAME,OldReefName,AREA_DESCR,Shelf_position,AIMS_sector,Reference_Area_km2,Geom_2D_Area_km2,GeomCH_2D_Area_km2,Geom_3D_Area_km2,GeomCH_3D_Area_km2
1,42,-10.7795,142.5916,10330100104,10-330,U/N Reef,U/N Reef (10-330),Far Northern,1,1,2.149739067,0.223079,0.214122,0.2584,0.2494
2,42,-10.7966,142.7106,10331100104,10-331,Harrington Shoal,Harrington Shoal (10-331),Far Northern,1,1,1.09928719381,0.254949,0.009859,0.336819,0.000802
3,42,-10.8243,142.5736,10332100104,10-332,U/N Reef,U/N Reef (10-332),Far Northern,1,1,0.972122477329,0.001757,0.00114888151022496,0.002,0.00157167475533315
4,42,-10.8354,142.5766,10333100104,10-333,U/N Reef,U/N Reef (10-333),Far Northern,1,1,0.452623649346,0.00032,0.000209296186234109,0.0003,0.000235794064650907
5,42,-10.8199,142.6871,10334100104,10-334,Four Fathom Patches,Four Fathom Patches (10-334),Far Northern,1,1,1.67557505695,0.015122,0.0098654045459261,0.015514,0.0121739727845154
6,42,-10.8213,142.7231,10335100104,10-335,Harrington Reef,Harrington Reef (10-335),Far Northern,1,1,1.95811918301,1.89001,1.275012,4.58146,3.385
7,43,-10.821,142.7622,10336100104,10-336,Wyborn Reef,Wyborn Reef (10-336),Far Northern,1,1,14.7598151037,14.356991,6.548929,21.06574,12.17537
8,43,-10.8079,142.9288,10337100104,10-337,U/N Reef,U/N Reef (10-337),Far Northern,1,1,0.633047059317,0.587502,0.535195,1.340918,1.174168
9,29,-10.7999,142.9836,10338100104,10-338,Womer Reef,Womer Reef (10-338),Far Northern,1,1,3.07808870123,2.867799,2.194825,5.06716,4.17699
10,42,-10.887,142.6933,10339100104,10-339,Brewis Reef,Brewis Reef (10-339),Far Northern,1,1,0.169230579329,0.150868,0.124473,0.283243,0.2308
11,48,-10.8899,142.6963,10340100104,10-340,Turtle Island Reef,Turtle Island Reef (10-340),Far Northern,1,1,0.287754922272,0.272409,0.170526,0.55843,0.33818
12,48,-10.9013,142.7727,10341100104,10-341,Shortland Reef,Shortland Reef (10-341),Far Northern,1,1,3.59826005599,3.482546,2.319839,6.64394,4.965
13,42,-10.9214,142.6311,10342100104,10-342,Trochus Reef,Trochus Reef (10-342),out,1,1,0.651897580175,0.098279,0.013853,0.63127182489288,0.469084769010446
14,36,-10.7754,143.0896,10299100104,10-299,U/N Reef,U/N Reef (10-299),Far Northern,1,1,3.57074601597,3.415592,1.967083,7.279665,5.44421
15,28,-10.7043,142.597,10316100104,10-316,Tree Reef,Tree Reef (10-316),Far Northern,1,1,0.0915748075399,0.060936,0.027173,0.061376,0.02699
16,28,-10.709,142.5979,10317100104,10-317,Brush Islet Reef,Brush Islet Reef (10-317),Far Northern,1,1,0.139032324828,0.070448,0.015852,0.083294,0.02309
17,28,-10.7153,142.593,10318101104,10-318a,Albany Island Reef (No 1),Albany Island Reef (No 1) (10-318a),Far Northern,1,1,0.683440572524,0.434638,0.121709,0.76603,0.2343
18,28,-10.7283,142.6178,10318102104,10-318b,Albany Island Reef (No 2),Albany Island Reef (No 2) (10-318b),Far Northern,1,1,0.819595392991,0.302727,0.124093,0.51013,0.2163
19,42,-10.7466,142.6233,10318103104,10-318c,Albany Island Reef (No 3),Albany Island Reef (No 3) (10-318c),Far Northern,1,1,0.535923940517,0.096101,0.063245,0.132024,0.07958
20,42,-10.7389,142.6049,10318104104,10-318d,Albany Island Reef (No 4),Albany Island Reef (No 4) (10-318d),Far Northern,1,1,1.23839153557,0.207691,0.032061,0.3031,0.0518
21,28,-10.7245,142.6248,10320100104,10-320,Mai Reef,Mai Reef (10-320),Far Northern,1,1,0.83712190348,0.150213,0.127198,0.225551,0.1889
22,28,-10.7189,142.6299,10321100104,10-321,Albany Rock Reef,Albany Rock Reef (10-321),Far Northern,1,1,0.102350336205,0.020384,0.0132863238909553,0.030045,0.0235405238406967
23,28,-10.7008,142.6732,10322100104,10-322,North Brother Reef,North Brother Reef (10-322),Far Northern,1,1,0.118486402527,0.118486402527,0.0759911606558588,0.73313277300343,0.540717877759837
24,32,-10.7119,142.6854,10323100104,10-323,Middle Brother Reef,Middle Brother Reef (10-323),Far Northern,1,1,0.6714752187,0.581875,0.411319,1.27923,0.9712
25,32,-10.7167,142.6918,10324100104,10-324,South Brother Reef,South Brother Reef (10-324),Far Northern,1,1,0.276504518872,0.050852,0.008685,0.094249,0.029158
26,32,-10.6803,142.7383,10325100104,10-325,North Ledge,North Ledge (10-325),out,1,1,5.84385465392,0.85272,0.506481,3.5554369579455,2.29312485069123
27,35,-10.6825,142.7861,10326100104,10-326,Meggi-Damun Reef,Meggi-Damun Reef (10-326),out,1,1,5.07510610706,0.576627,0.572013,2.59994285330863,1.73685238891818
28,32,-10.7053,142.7323,10327100104,10-327,South Ledge,South Ledge (10-327),Far Northern,1,1,37.1201903095,28.274696,5.526523,35.58362,10.20952
29,42,-10.7578,142.6143,10328100104,10-328,Ulfa Reef,Ulfa Reef (10-328),Far Northern,1,1,0.0711022765211,0.01247,0.01247,0.01614,0.01614
30,42,-10.7708,142.6252,10329100104,10-329,Ariel Bank,Ariel Bank (10-329),Far Northern,1,1,0.291489452963,0.096934,0.088148,0.09175,0.08067
31,51,-10.8032,143.8008,10401100104,10-401,U/N Reef,U/N Reef (10-401),Far Northern,2,1,1.17302040268,0.274614,0.274614,1.383765,1.383765
32,45,-10.8055,144.0066,10402100104,10-402,U/N Reef,U/N Reef (10-402),Far Northern,3,1,8.12726035779,4.709054,2.142679,12.754857,8.0198
33,45,-10.8237,143.9961,10403100104,10-403,U/N Reef,U/N Reef (10-403),Far Northern,3,1,4.44698019108,1.970061,1.334526,7.454884,5.68224
34,51,-10.8251,143.8238,10404100104,10-404,U/N Reef,U/N Reef (10-404),Far Northern,2,1,2.69434947674,0.936813,0.753605,4.224518,3.68791
